Year,Month,Day,AVERAGE TEMPERATURE (Deg C),BAROMETRIC PRESSURE (hPa),CLOUD COVER (Oktas),DEWPOINT TEMPERATURE (Deg C),EVAPOTRANSPIRATION (mm),MAXIMUM TEMPERATURE (Deg C),MINIMUM TEMPERATURE (Deg C),RAINFALL (mm),RELATIVE HUMIDITY (%),SOLAR RADIATION (MJ/m2),SUNSHINE HOURS,WIND DIRECTION (Degrees),WIND SPEED (kt),Date
2021.0,April,1,26.3,963.7,1.0,8.5,8.7,36.0,20.3,0.0,11.0,28.0,6.9,40.0,8.0,2021-04-01
2021.0,April,2,26.8,962.8,0.0,9.400000000000002,8.4,36.4,20.3,0.0,13.0,27.6,7.0,40.0,7.0,2021-04-02
2021.0,April,3,27.7,961.8,2.0,10.099999999999998,7.9,37.7,20.8,0.0,12.0,27.5,9.4,30.0,6.0,2021-04-03
2021.0,April,4,28.5,960.6,1.0,11.100000000000001,8.0,39.0,20.1,0.0,13.0,27.0,6.5,90.0,6.0,2021-04-04
2021.0,April,5,29.8,959.9,0.0,12.2,8.4,41.0,19.2,0.0,12.0,27.8,6.0,30.0,6.0,2021-04-05
2021.0,April,6,31.1,960.0,5.0,13.3,8.4,42.5,20.2,0.0,11.0,27.6,8.7,30.0,6.0,2021-04-06
2021.0,April,7,31.4,959.2,3.0,13.799999999999997,9.0,42.6,26.9,0.0,12.0,27.8,7.8,50.0,6.0,2021-04-07
2021.0,April,8,33.2,958.3,6.0,15.400000000000002,8.4,41.9,26.7,0.0,11.0,27.3,7.3,50.0,6.0,2021-04-08
2021.0,April,9,32.8,957.5,5.0,14.599999999999998,8.0,41.8,22.0,0.0,9.0,27.9,7.3,60.0,4.0,2021-04-09
2021.0,April,10,31.1,958.5,4.0,12.900000000000002,7.5,41.0,21.7,0.0,9.0,28.0,9.3,80.0,5.0,2021-04-10
2021.0,April,11,31.5,960.9,6.0,14.3,7.6,40.6,23.9,0.0,14.0,26.4,8.0,50.0,5.0,2021-04-11
2021.0,April,12,31.1,961.1,3.0,13.3,8.8,41.4,24.6,0.0,11.0,28.0,6.3,40.0,6.0,2021-04-12
2021.0,April,13,31.2,960.6,4.0,13.2,7.0,40.2,23.0,0.0,10.0,26.9,8.1,90.0,4.0,2021-04-13
2021.0,April,14,30.9,960.1,4.0,15.299999999999999,8.1,42.3,21.0,0.0,22.0,28.4,5.7,110.0,4.0,2021-04-14
2021.0,April,15,29.9,958.3,3.0,13.899999999999999,9.1,41.7,25.6,0.0,20.0,28.5,6.3,50.0,6.0,2021-04-15
2021.0,April,16,31.3,958.2,4.0,13.100000000000001,7.6,42.2,21.2,0.0,9.0,28.3,8.0,80.0,4.0,2021-04-16
2021.0,April,17,31.0,959.2,6.0,13.600000000000001,7.6,41.1,25.3,0.0,13.0,27.4,8.1,220.0,4.0,2021-04-17
2021.0,April,18,30.8,958.9,4.0,14.8,6.9,41.5,24.5,0.0,20.0,27.7,6.2,190.0,3.0,2021-04-18
2021.0,April,19,31.9,958.4,2.0,15.5,7.4,41.8,25.5,0.0,18.0,27.5,8.6,190.0,4.0,2021-04-19
2021.0,April,20,32.0,958.6,5.0,17.6,6.6,41.5,21.7,0.0,28.0,27.3,8.9,180.0,4.0,2021-04-20
