Year,Month,AVERAGE TEMPERATURE (Deg C),BAROMETRIC PRESSURE (hPa),CLOUD COVER (Oktas),DEWPOINT TEMPERATURE (Deg C),EVAPOTRANSPIRATION (mm),MAXIMUM TEMPERATURE (Deg C),MINIMUM TEMPERATURE (Deg C),RAINFALL (mm),RELATIVE HUMIDITY (%),SOLAR RADIATION (MJ/m2),SUNSHINE HOURS,WIND DIRECTION (Degrees),WIND SPEED (kt),Rain_Anomaly,Date
2001.0,Jan,20.2,964.9,3.0,4.199999999999999,6.5,31.1,11.0,0.0,20.0,22.7,7.7,40.0,6.0,0.0,2001-01-01
2001.0,Feb,23.2,963.5,3.0,6.399999999999999,7.1,32.1,13.8,0.0,16.0,24.1,7.4,40.0,6.0,0.0,2001-02-01
2001.0,Mar,28.5,960.9,3.0,10.7,8.3,38.2,18.9,0.0,11.0,26.4,7.4,60.0,6.0,-0.07200000000000001,2001-03-01
2001.0,April,32.0,959.2,2.0,17.8,8.0,40.0,25.0,56.2,29.0,26.0,8.1,150.0,5.0,35.428,2001-04-01
2001.0,May,32.0,960.2,2.0,20.6,7.3,39.0,25.8,13.0,43.0,25.0,8.0,180.0,5.0,-25.024,2001-05-01
2001.0,June,29.6,961.9,5.0,21.200000000000003,5.7,35.3,23.8,120.9,58.0,23.2,6.7,210.0,5.0,14.292000000000016,2001-06-01
2001.0,July,27.2,962.5,6.0,21.799999999999997,4.4,32.4,22.3,136.7,73.0,20.2,5.5,220.0,5.0,-36.404000000000025,2001-07-01
2001.0,Aug,26.0,963.8,6.0,22.0,4.1,30.8,22.1,304.3,80.0,18.1,5.4,220.0,5.0,50.52400000000003,2001-08-01
2001.0,Sep,27.1,962.2,6.0,21.9,4.6,32.1,22.0,204.6,77.0,21.8,5.7,210.0,4.0,80.20799999999998,2001-09-01
2001.0,Oct,27.7,962.7,4.0,15.5,5.5,34.9,20.0,0.0,39.0,23.8,8.4,100.0,5.0,-35.228,2001-10-01
2001.0,Nov,25.5,963.0,3.0,9.7,6.7,35.6,14.6,0.0,21.0,23.1,8.1,40.0,6.0,-0.29600000000000004,2001-11-01
2001.0,Dec,23.5,963.4,3.0,7.699999999999999,5.8,33.4,13.2,0.0,21.0,21.3,7.5,30.0,6.0,-0.16,2001-12-01
2002.0,Jan,19.9,966.0,3.0,4.299999999999999,6.1,28.1,12.6,0.0,22.0,22.2,8.0,40.0,7.0,0.0,2002-01-01
2002.0,Feb,23.9,963.5,3.0,7.299999999999997,7.1,32.9,15.6,0.0,17.0,23.9,7.3,40.0,6.0,0.0,2002-02-01
2002.0,Mar,28.8,960.5,3.0,11.8,8.3,38.9,20.8,0.0,15.0,26.0,8.0,70.0,6.0,-0.07200000000000001,2002-03-01
2002.0,April,32.6,957.7,4.0,18.8,7.7,40.5,25.8,13.2,31.0,25.6,8.2,150.0,5.0,-7.572000000000003,2002-04-01
2002.0,May,32.2,959.7,4.0,18.800000000000004,6.8,41.1,26.3,1.8,33.0,25.9,8.8,150.0,5.0,-36.224000000000004,2002-05-01
2002.0,June,30.4,961.9,4.0,21.599999999999998,5.9,37.4,25.3,30.2,56.0,23.0,6.5,210.0,5.0,-76.40799999999999,2002-06-01
2002.0,July,28.5,963.0,6.0,22.3,4.5,33.5,23.6,125.6,69.0,22.2,6.1,210.0,5.0,-47.50400000000002,2002-07-01
2002.0,Aug,26.8,963.1,6.0,22.200000000000003,3.8,31.7,22.9,132.9,77.0,20.5,6.0,210.0,4.0,-120.87599999999998,2002-08-01
2002.0,Sep,27.5,962.5,6.0,22.0,4.5,31.8,22.1,141.6,75.0,21.0,5.8,210.0,4.0,17.207999999999984,2002-09-01
2002.0,Oct,27.4,962.0,3.0,18.0,6.2,34.7,21.0,44.8,53.0,22.6,7.8,140.0,4.0,9.571999999999996,2002-10-01
2002.0,Nov,25.2,963.3,2.0,10.0,6.7,35.1,16.6,0.0,24.0,22.5,7.7,50.0,5.0,-0.29600000000000004,2002-11-01
2002.0,Dec,22.4,965.2,2.0,6.999999999999998,6.3,32.2,13.9,0.0,23.0,21.4,8.1,40.0,6.0,-0.16,2002-12-01
2003.0,Jan,21.9,964.5,2.0,5.899999999999999,6.1,33.0,12.1,0.0,20.0,22.2,7.7,40.0,5.0,0.0,2003-01-01
2003.0,Feb,25.4,962.3,2.0,8.599999999999998,6.9,36.0,17.0,0.0,16.0,23.8,7.5,40.0,6.0,0.0,2003-02-01
2003.0,Mar,28.1,961.5,4.0,10.5,8.1,36.4,20.1,0.0,12.0,26.0,7.9,40.0,6.0,-0.07200000000000001,2003-03-01
2003.0,April,32.0,959.2,5.0,18.0,7.4,40.7,25.3,7.6,30.0,25.4,8.5,160.0,5.0,-13.172000000000002,2003-04-01
